# bodies: subj_dog,subj_cat
1789192704.1071,8.1000,2.6000,-0.6115,0.3250,2.2000,0.9000,0.2000
1789192704.1959,8.1500,2.6000,-0.6059,0.3250,2.2000,0.9000,0.2000
1789192704.2797,8.2000,2.6000,-0.6004,0.3250,2.2000,0.9000,0.2000
1789192704.3630,8.2500,2.6000,-0.5949,0.3250,2.2000,0.9000,0.2000
1789192704.4474,8.3000,2.6000,-0.5894,0.3250,2.2000,0.9000,0.2000
1789192704.5292,8.3500,2.6000,-0.5839,0.3250,2.2000,0.9000,0.2000
1789192704.6126,8.4000,2.6000,-0.5785,0.3250,2.2000,0.9000,0.2000
1789192704.6975,8.4500,2.6000,-0.5731,0.3250,2.2000,0.9000,0.2000
1789192704.7855,8.5000,2.6000,-0.5677,0.3250,2.2000,0.9000,0.2000
1789192704.8713,8.5500,2.6000,-0.5624,0.3250,2.2000,0.9000,0.2000
1789192704.9582,8.6000,2.6000,-0.5571,0.3250,2.2000,0.9000,0.2000
1789192705.0456,8.6500,2.6000,-0.5518,0.3250,2.2000,0.9000,0.2000
1789192705.1389,8.7000,2.6000,-0.5466,0.3250,2.2000,0.9000,0.2000
1789192705.2480,8.7500,2.6000,-0.5414,0.3250,2.2000,0.9000,0.2000
1789192705.3280,8.8000,2.6000,-0.5363,0.3250,2.2000,0.9000,0.2000
1789192705.4085,8.8500,2.6000,-0.5311,0.3250,2.2000,0.9000,0.2000
1789192705.4901,8.9000,2.6000,-0.5261,0.3250,2.2000,0.9000,0.2000
1789192705.5711,8.9500,2.6000,-0.5210,0.3250,2.2000,0.9000,0.2000
1789192705.6539,9.0000,2.6000,-0.5161,0.3250,2.2000,0.9000,0.2000
1789192705.7390,9.0500,2.6000,-0.5111,0.3250,2.2000,0.9000,0.2000
1789192705.8235,9.1000,2.6000,-0.5062,0.3250,2.2000,0.9000,0.2000
1789192705.9085,9.1500,2.6000,-0.5013,0.3250,2.2000,0.9000,0.2000
1789192705.9938,9.2000,2.6000,-0.4965,0.3250,2.2000,0.9000,0.2000
1789192706.0793,9.2500,2.6000,-0.4917,0.3250,2.2000,0.9000,0.2000
1789192706.1619,9.3000,2.6000,-0.4870,0.3250,2.2000,0.9000,0.2000
1789192706.2506,9.3500,2.6000,-0.4823,0.3250,2.2000,0.9000,0.2000
1789192706.3361,9.4000,2.6000,-0.4777,0.3250,2.2000,0.9000,0.2000
1789192706.4211,9.4500,2.6000,-0.4731,0.3250,2.2000,0.9000,0.2000
1789192706.5073,9.5000,2.6000,-0.4685,0.3250,2.2000,0.9000,0.2000
1789192706.5915,9.5500,2.6000,-0.4640,0.3250,2.2000,0.9000,0.2000
1789192706.6746,9.6000,2.6000,-0.4596,0.3250,2.2000,0.9000,0.2000
1789192706.7582,9.6500,2.6000,-0.4552,0.3250,2.2000,0.9000,0.2000
1789192706.8414,9.7000,2.6000,-0.4508,0.3250,2.2000,0.9000,0.2000
1789192706.9272,9.7500,2.6000,-0.4465,0.3250,2.2000,0.9000,0.2000
1789192707.0115,9.8000,2.6000,-0.4423,0.3250,2.2000,0.9000,0.2000
1789192707.0950,9.8500,2.6000,-0.4381,0.3250,2.2000,0.9000,0.2000
1789192707.1820,9.9000,2.6000,-0.4340,0.3250,2.2000,0.9000,0.2000
1789192707.2672,9.9500,2.6000,-0.4299,0.3250,2.2000,0.9000,0.2000
1789192707.3483,10.0000,2.6000,-0.4258,0.3250,2.2000,0.9000,0.2000
1789192707.4305,10.0500,2.6000,-0.4219,0.3250,2.2000,0.9000,0.2000
1789192707.5125,10.1000,2.6000,-0.4179,0.3250,2.2000,0.9000,0.2000
1789192707.5952,10.1500,2.6000,-0.4141,0.3250,2.2000,0.9000,0.2000
1789192707.6784,10.2000,2.6000,-0.4103,0.3250,2.2000,0.9000,0.2000
1789192707.7627,10.2500,2.6000,-0.4065,0.3250,2.2000,0.9000,0.2000
1789192707.8466,10.3000,2.6000,-0.4028,0.3250,2.2000,0.9000,0.2000
1789192707.9340,10.3500,2.6000,-0.3992,0.3250,2.2000,0.9000,0.2000
1789192708.0191,10.4000,2.6000,-0.3956,0.3250,2.2000,0.9000,0.2000
1789192708.1058,10.4500,2.6000,-0.3921,0.3250,2.2000,0.9000,0.2000
1789192708.1907,10.5000,2.6000,-0.3886,0.3250,2.2000,0.9000,0.2000
1789192708.2745,10.5500,2.6000,-0.3852,0.3250,2.2000,0.9000,0.2000
1789192708.3592,10.6000,2.6000,-0.3819,0.3250,2.2000,0.9000,0.2000
1789192708.4412,10.6500,2.6000,-0.3786,0.3250,2.2000,0.9000,0.2000
1789192708.5251,10.7000,2.6000,-0.3754,0.3250,2.2000,0.9000,0.2000
1789192708.6080,10.7500,2.6000,-0.3722,0.3250,2.2000,0.9000,0.2000
1789192708.6934,10.8000,2.6000,-0.3691,0.3250,2.2000,0.9000,0.2000
1789192708.7767,10.8500,2.6000,-0.3661,0.3250,2.2000,0.9000,0.2000
1789192708.8622,10.9000,2.6000,-0.3631,0.3250,2.2000,0.9000,0.2000
1789192708.9462,10.9500,2.6000,-0.3602,0.3250,2.2000,0.9000,0.2000
1789192709.0309,11.0000,2.6000,-0.3574,0.3250,2.2000,0.9000,0.2000
1789192709.1153,11.0500,2.6000,-0.3546,0.3250,2.2000,0.9000,0.2000
1789192709.2016,11.1000,2.6000,-0.3519,0.3250,2.2000,0.9000,0.2000
1789192709.2851,11.1500,2.6000,-0.3493,0.3250,2.2000,0.9000,0.2000
1789192709.3696,11.2000,2.6000,-0.3467,0.3250,2.2000,0.9000,0.2000
1789192709.4531,11.2500,2.6000,-0.3442,0.3250,2.2000,0.9000,0.2000
1789192709.5360,11.3000,2.6000,-0.3417,0.3250,2.2000,0.9000,0.2000
1789192709.6162,11.3500,2.6000,-0.3394,0.3250,2.2000,0.9000,0.2000
1789192709.6912,11.4000,2.6000,-0.3370,0.3250,2.2000,0.9000,0.2000
1789192709.7748,11.4500,2.6000,-0.3348,0.3250,2.2000,0.9000,0.2000
1789192709.8527,11.5000,2.6000,-0.3326,0.3250,2.2000,0.9000,0.2000
1789192709.9378,11.5500,2.6000,-0.3305,0.3250,2.2000,0.9000,0.2000
1789192710.0213,11.6000,2.6000,-0.3285,0.3250,2.2000,0.9000,0.2000
1789192710.1048,11.6500,2.6000,-0.3265,0.3250,2.2000,0.9000,0.2000
1789192710.1881,11.7000,2.6000,-0.3246,0.3250,2.2000,0.9000,0.2000
